circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,YADAGIRI NAGAR,GENERAL PURPOSE,7,1,1.0,216.0,5.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,ALI NAGAR&SARATHI STUDIO,GENERAL PURPOSE,7,1,1.0,383.0,5.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,AMEERPET,GENERAL PURPOSE,7,5,5.0,525.0,21.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC HIGH VALUES,GENERAL PURPOSE,7,1,,0.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC- NON - C.T.  METERS,GENERAL PURPOSE,7,3,3.0,1131.0,20.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,JAWAHAR NAGAR&INDIRA NAGAR,GENERAL PURPOSE,7,1,1.0,282.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,JP NAGAR & ENGINEERS COLONY,GENERAL PURPOSE,7,4,3.0,192.0,16.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,KAMALAPURI COLONY,GENERAL PURPOSE,7,1,1.0,152.0,3.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,NAGARJUNA NAGAR,GENERAL PURPOSE,7,1,,0.0,0.24
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,OLD YELLAREDDYGUDA,GENERAL PURPOSE,7,1,1.0,397.0,3.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SHALIVAHANA SBH NAVODAYA,GENERAL PURPOSE,7,3,3.0,310.0,11.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SKD NAGAR,GENERAL PURPOSE,7,1,1.0,193.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SRINAGAR APARTMENT,GENERAL PURPOSE,7,4,4.0,154.0,20.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SRINAGAR KESHAVNAGAR,GENERAL PURPOSE,7,11,11.0,3023.0,45.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,STREET LIGHTS,GENERAL PURPOSE,7,3,1.0,301.0,13.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,UPPER BASTI,GENERAL PURPOSE,7,4,4.0,1043.0,4.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,WB. WADDAR BASTHI,GENERAL PURPOSE,7,4,3.0,669.0,10.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,GAYATRI HILLS,GENERAL PURPOSE,7,1,1.0,373.0,5.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,GRC HIGH VALUES,GENERAL PURPOSE,7,5,5.0,4701.0,63.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,LAXMI NARSIMHA NAGAR-2,GENERAL PURPOSE,7,1,,0.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,LN NAGAR MAZIDH,GENERAL PURPOSE,7,2,2.0,376.0,3.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,GENERAL PURPOSE,7,6,6.0,2549.0,22.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,RAHAMATHNAGAR-1,GENERAL PURPOSE,7,2,2.0,760.0,2.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,RAHMANTHNAGAR (NORTH),GENERAL PURPOSE,7,2,2.0,152.0,6.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,S K NAGAR A-BLOCK,GENERAL PURPOSE,7,3,2.0,1096.0,11.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,S.K.NAGAR & BARRELA PT,GENERAL PURPOSE,7,2,2.0,1119.0,6.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,VENKATAGIRI,GENERAL PURPOSE,7,2,,0.0,1.25
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,VENKATAGIRI-2,GENERAL PURPOSE,7,2,2.0,350.0,6.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,YOUSUF GUDA BASTI,GENERAL PURPOSE,7,1,1.0,101.0,1.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS," IBRAHIM,NOOR,GURUBRAHMA NAGER",GENERAL PURPOSE,7,2,2.0,536.0,5.2
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,DK BASTI MASJID ,GENERAL PURPOSE,7,2,2.0,954.0,6.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,GOWRI SHANKER COLONY,GENERAL PURPOSE,7,2,1.0,270.0,1.25
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,GRC ROAD NO 2 AND 3,GENERAL PURPOSE,7,3,3.0,3144.0,147.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"GRC ROAD NO 7,8,9,10 AND 11",GENERAL PURPOSE,7,4,3.0,981.0,12.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"GRC ROAD NO1,4,5,6,AND14",GENERAL PURPOSE,7,2,2.0,2786.0,55.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"JOURNALIST NOVODAYA,U.B.COLONY",GENERAL PURPOSE,7,1,1.0,21.0,1.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,KCR HOUSE & NANDI NAGAR,GENERAL PURPOSE,7,5,5.0,337.0,8.2
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS AND PANJAGUTTA,GENERAL PURPOSE,7,3,3.0,2388.0,99.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,GRC HIGH VALUES,GENERAL PURPOSE,7,7,7.0,17510.0,82.5
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,JAWAHAR NAGAR SAIBABA TEMPEL,GENERAL PURPOSE,7,5,5.0,1300.0,17.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,JAWAHARNAGAR,GENERAL PURPOSE,7,1,1.0,62.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,KALYAN NAGAR APARTMENT,GENERAL PURPOSE,7,1,1.0,472.0,3.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,MADHRANAGAR A  C,GENERAL PURPOSE,7,1,1.0,226.0,4.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,"MADHURA NAGAR(B,D,H)",GENERAL PURPOSE,7,2,2.0,332.0,9.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,RAHAMATH NAGAR CHURCH,GENERAL PURPOSE,7,1,1.0,323.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,RAHMATHNAGAR(SOUTH),GENERAL PURPOSE,7,4,4.0,3344.0,16.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,SIDHARTHA NAGAR,GENERAL PURPOSE,7,6,6.0,609.0,10.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,VENGALARAO NAGAR A B C,GENERAL PURPOSE,7,7,7.0,954.0,15.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,VIKASPURI & LAKSHIMINAGAR,GENERAL PURPOSE,7,4,3.0,565.0,12.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA APTS-I,GENERAL PURPOSE,7,2,2.0,909.0,8.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,UMANAGAR,GENERAL PURPOSE,7,1,1.0,1460.0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET MAIN ROAD,GENERAL PURPOSE,7,2,2.0,1717.0,8.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,ANAND BAGH,GENERAL PURPOSE,7,1,1.0,350.0,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,B.K.GUDA DASARAM BASTI,GENERAL PURPOSE,7,1,1.0,120.0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BALKAMPET EAST,GENERAL PURPOSE,7,2,2.0,478.0,2.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BALKAMPET WEST,GENERAL PURPOSE,7,1,1.0,230.0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BAPU NAGAR NORTH,GENERAL PURPOSE,7,1,1.0,23.0,1.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BAPU NAGAR SOUTH,GENERAL PURPOSE,7,2,2.0,298.0,1.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,C-TYPE QUARTERS,GENERAL PURPOSE,7,1,1.0,741.0,5.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,CT METERS,GENERAL PURPOSE,7,1,1.0,5889.0,39.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,ESI QUARTERS,GENERAL PURPOSE,7,2,2.0,427.0,10.0
